NAME,Population,Parliament Seats,GDP (B USD),Growth Rate,Infant Mortality,Life Expectancy
Austria,8793370,18,417.4,0.42,3.4,81.7
Belgium,11570762,21,493.7,0.67,3.4,81.2
Bulgaria,7057504,17,56.94,-0.63,8.3,74.8
Croatia,4270480,11,54.76,-0.51,9.1,76.3
Cyprus,1237088,6,21.7,1.27,7.7,79
Czechia,10686269,21,215.8,0.1,2.6,78.9
Denmark,5809502,13,325.6,0.59,3.2,81
Estonia,1244288,6,25.97,-0.6,3.8,77
Finland,5537364,13,252.8,0.33,2.5,81.1
France,67364357,74,2588,0.37,3.2,82
Germany,80457737,96,3701,-0.17,3.4,80.9
Greece,10761523,21,200.7,-0.07,4.5,80.8
Hungary,9825704,21,139.2,-0.26,4.8,76.3
Ireland,5068050,11,331.5,1.11,3.6,81
Italy,62246674,73,1939,0.16,3.2,82.4
Latvia,1923559,8,30.33,-1.1,5.1,74.9
Lithuania,2793284,11,47.26,-1.1,3.8,75.2
Luxembourg,605764,6,62.53,1.9,3.4,82.4
Malta,449043,6,12.58,0.99,4.7,82.7
Netherlands,17151228,26,832.2,0.38,3.5,81.5
Poland,38420687,51,524.8,-0.16,4.4,77.9
Portugal,10355493,21,218,-0.27,2.6,80.9
Romania,21457116,32,211.9,-0.35,9.2,75.6
Slovakia,5445040,13,95.96,-0.02,5,77.4
Slovenia,2102126,8,48.87,0.03,1.6,81.2
Spain,49331076,54,1314,0.73,3.3,81.8
Sweden,10040995,20,535.6,0.8,2.6,82.2
United Kingdom,65105246,73,2628,0.51,4.2,80.9
